Rank,Tiktoker name,Tiktok name,followers,views(avg),likes(avg.),comments(avg.),shares(avg.),Month
97,swagboygorringe,Daniel Gorringe,7M,3.1M,347.2K,6K,10.5K,December
98,sadiafza,Sadia,2.7M,5.3M,749K,2.2K,2.1K,December
99,ryanbakery,ð™ð™®ð™–ð™£ð˜½ð™–ð™ ð™šð™§ð™®,3.2M,3.8M,466.8K,4.3K,5.2K,December
100,zachking,Zach King,72.1M,11.5M,466.4K,1.6K,1.5K,December
101,docdami,Doc Dami,4.1M,4.7M,759.1K,2.2K,2.3K,December
102,mdmotivator,Zachery Dereniowski,11.3M,4.9M,834.2K,2.7K,1.2K,December
103,cool__bad,Kuan - Aisha ðŸ”Ž,2.8M,9.4M,565.4K,1.7K,1.2K,December
104,kallmekris,Kris HC,47.6M,3.6M,715.5K,3.8K,2.1K,December
105,angelaaguilar_,Angela Aguilar :),10.7M,5.4M,469.8K,2.3K,3.6K,December
106,joshtgodfrey,Josh Godfrey,1.1M,3.7M,464.6K,3.9K,4.7K,December
107,kieram.litchfield,Kieram Litchfield,2.3M,5.9M,708.8K,2.2K,1.2K,December
108,kervo.dolo,Kervo.dolo,10.5M,3.1M,515.7K,3.1K,5.7K,December
109,winnermaxyt,WinnerMax,7.1M,6.4M,421.5K,1.7K,3.4K,December
110,olisboa,LISBOA,3.9M,4.3M,740.3K,1.1K,3K,December
111,imeyhou,Meyden,5M,4.8M,802.4K,2.7K,658,December
112,lilireinhart,Lili Reinhart,5.6M,4.2M,602.9K,1.8K,3.3K,December
113,therealemilylin,Emily Lin,238.9K,5.2M,655.3K,3.5K,258,December
114,nourmar5,nourmar5,14.7M,3.1M,190.4K,10K,11.6K,December
115,selenagomez,Selena Gomez,44.9M,4.5M,545.6K,3.7K,1.3K,December
116,kumulator,KumulÃ¡tor zÃ¡bavy,123K,2.3M,207K,4.6K,20.8K,December
117,spencer_serafica,Xspencer,14.1M,4.2M,497.6K,3.7K,2.1K,December
118,jesusnalgas,JESUSNALGAS,3.9M,3.4M,325.9K,4.3K,6.3K,December
119,makeup_rhk,makeup_rhk,860.3K,4.3M,812.8K,556,2.8K,December
120,duncanyounot,Duncan Joseph,4.4M,2.9M,560.1K,2.7K,4.2K,December
121,sijad_qasim,Ø³Ø¬Ø§Ø¯ Ù‚Ø§Ø³Ù…,2.3M,5.9M,171.6K,4K,6.9K,December
122,lance210,Lance Stewart,22.7M,4.2M,420K,1.8K,4.3K,December
123,ivanaalawi,Ivana Alawi,8.6M,5.9M,606.5K,2K,956,December
124,muluerror,"Nama gue Rian, tp bkn babayo",672.8K,6.1M,395.6K,2.1K,2.3K,December
125,millennialmonroe,Mandy,112.1K,4.8M,270.4K,1.6K,6.4K,December
126,whatslucasup2,Lucas Peterson BMX art,467.7K,3.6M,301.7K,3.3K,5.9K,December
127,willsmith,Will Smith,73M,4.7M,514.6K,2.2K,2K,December
128,marisol.viola,marisol viola,1.5M,2.4M,411.2K,3K,7.3K,December
129,nicolebloomgarden,Nicole Bloomgarden,675.6K,2.3M,451.3K,1.9K,7.7K,December
130,thelondoncharles,London Charles,6.9M,3.3M,598.9K,3.5K,1.5K,December
131,jimmydarts,Jimmy Darts,9.8M,4.3M,607.7K,2.9K,894,December
132,antourny,Antony Santos,2.6M,4.8M,527.4K,3K,788,December
133,thallyssonsb,Thallysson Borges,11.6M,2.7M,372K,3.7K,5.7K,December
134,itsblasphemus,ðŸ—£ðŸ“±itsblasphemus,994.5K,3.1M,383K,2.4K,5.6K,December
135,yerimuaa,Yeri MUA,5.3M,7.3M,645.7K,1.4K,485,December
136,raredoodle,rare doodle,2.1M,3.1M,425K,3.1K,3.9K,December
137,hf37777,à¼Šà·´Ù†Ø¬ÙÙ…Ù€ Ø§Ù„ÙØ«Ù€Ø±ÙÙŠÙŽØ§Ø¡ã€„à¿,801.5K,1.3M,85.2K,4.3K,80.4K,December
138,brentrivera,Brent Rivera,45.8M,4.6M,557.4K,2.3K,1.2K,December
139,tifannylm,âš¡ï¸TEF,9.3M,5.8M,709K,972,1.2K,December
140,alexisomman,Alexis Omman,11.5M,2.7M,403.7K,6.5K,1.6K,December
141,theofficecurrently,The Office Currently,308K,2.2M,172.1K,1.3K,22.4K,December
142,keniaos,KeniaOs,16.6M,3.2M,515K,3.3K,2K,December
143,ali.klose11,Ø¹Ù„ÙŠ ÙƒÙ„ÙˆØ²Ù‡,2.4M,3.4M,357.5K,5.1K,2K,December
144,alexwaarren,Alex warren,15.6M,5.2M,854.6K,1K,902,December
145,bilalahy,Bilal,4.2M,3.2M,497.7K,2.2K,3.1K,December
146,ferchugimenez,Fernanda,8.2M,4.7M,825.8K,1K,1.2K,December
147,the.sign.guy,Austin Mollno,7.2M,4.6M,660.7K,2.1K,571,December
148,therealhammytv,TheRealHammyTV,16.1M,6.4M,227.3K,1.3K,4.4K,December
149,bu3qeel,abu aqeel ðŸ™†ðŸ»â€â™€ï¸,1.2M,4.1M,217.2K,3.9K,5.3K,December
150,attahalilintar,Atta Halilintar,13.3M,5.2M,448K,1.9K,1.5K,December
151,thekapelariz,The Kapelari Family,2.5M,2.8M,253K,4.6K,6.7K,December
152,zusjeofficial,ZUSJE,8.3M,6.1M,334.6K,2.7K,1.2K,December
153,jaxwritessongs,Jax,12.9M,3.3M,433.4K,4.6K,876,December
154,luismariz,Luis Mariz,12.7M,7M,555.6K,648,1.4K,December
155,pablitocastilloo,pablitocastilloo,6.4M,2.7M,269.1K,1.7K,9.1K,December
156,jvke,JVKE,9.9M,2.7M,517.8K,2.8K,2.7K,December
157,jombospice,JOMBOSPICE,9.8M,5.6M,648.9K,1.6K,554,December
158,julieevlorentzen,julie,4.2M,4.8M,634.8K,2K,547,December
159,adamw,Adam W,17.7M,4.1M,322K,2K,3.8K,December
160,garett__nolan,Garett Nolan,13.4M,2.7M,351.3K,2.9K,5.2K,December
161,ayesebastien,Sebastien,8.1M,2.8M,550.5K,1.9K,3K,December
162,la_lerma,LERMITA,13.4M,3M,567.4K,2.1K,2.2K,December
163,soysuco,Soysuco,14M,3.7M,373.9K,4.7K,652,December
164,lyodrabeneran,Lyodra Ginting,2.5M,4.3M,558.1K,1.9K,1.2K,December
165,pietro_morello,Pietro Morello,3.1M,6.6M,464.4K,1.5K,889,December
166,_andrewcurtiss,Andrew Curtis,2.9M,2M,408.8K,5.8K,3.1K,December
167,good.boy.ollie,Good Boy Ollie,5.2M,2.2M,398.1K,2.6K,5.5K,December
168,shxtsngigs,ShxtsNGigs Podcast,5.9M,2.6M,467.2K,1.1K,4.6K,December
169,addisonre,Addison,88.7M,5.3M,304.9K,2.4K,2K,December
170,chriscoquyt,Chris Coquyt,136.2K,2.4M,353.8K,3.6K,4.6K,December
171,hisoyvaleria,valeria ðŸ–¤,9.9M,3.9M,454.1K,1.6K,2.3K,December
172,joaoferdnan,JoÃ£o Ferdnan,8.8M,2.3M,274.6K,4.1K,6.9K,December
173,graciajessicajane,Jessica JaneðŸŒ™,11.6M,4.9M,510.4K,1.9K,806,December
174,sabrenorris,Sabre Norris,3.8M,3.1M,321.1K,6.3K,584,December
175,official_nct,NCT Official,9.2M,2.3M,572.5K,3.3K,1.9K,December
176,ustazebitlew,Ebit Lew,4.6M,2.7M,213.1K,6K,5.6K,December
177,sromero29,Samuel29,599.1K,1.7M,112.9K,887,34.4K,December
178,augustogimenez,AugustoGimenez,15M,5.3M,653.5K,1.3K,528,December
